idnum,age,cohort,sex,race,sexornt,born,sibs,agekdbrn,childs,chldidel,marital,martype,educ,degree,majorcol,othlang,dwelling,dwelown,hompop,income16,rincom16,prestg10,papres10,mapres10,sppres10,sei10,pasei10,masei10,spsei10,region,parborn,paeduc,maeduc,speduc,zodiac,relig,attend,reliten,postlife,pray,relig16,sprel,prayer,bible,god,relpersn,sprtprsn,happy,hapmar,health,life,rushed,bored,evbrkdwn,lotr1,lotr2,lotr3,lotr4,lotr5,lotr6,hope1,hope2,hope3,hope4,hope5,hope6,res16,reg16,mobile16,family16,famdif16,partyid,polviews,polint,colath,colrac,colcom,colmil,colhomo,colmslm,cappun,gunlaw,courts,grass,aged,raclive,affrmact,marblk,marasian,marhisp,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,pillok,sexeduc,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,xmovie,spanking,polhitok,polabuse,polmurdr,polescap,polattak,fechld,fefam,meovrwrk,marhomo,taxrich,taxmid,taxpoor,letin1,spenviro,sphlth,sppolice,spschool,sparms,spretire,spunemp,sparts,socrel,socommun,socfrend,socbar,wrkstat,wrkslf,spwrksta,satjob,worryjob,stresswk,vetyears,class,satfin,finrela,getahead,parsol,fear,owngun,rowngun,hunt,news,tvhours,compuse,emailmin,emailhr,wwwhr,wwwmin,newsfrom,scifrom,astrosci,intintl,intenvir,partners,frndsex,acqntsex,pikupsex,paidsex,othersex,sexsex,sexfreq,numwomen,nummen,partnrs5,sexsex5,evpaidsx,evstray,intuse,intmbile,intrecnt,twitter,facebook,instagrm,linkedin,snapchat,tumblr,whatsapp,googlesn,pinterst,flickr,vine,clssmtes,snsmoth1,wtss,wtssnr,wtssall
1,47,1969,1,1,0,1,2,29,3,3,1,1,16,3,9,2,2,1,5,26,26,60,61,0,57,87.9000015258789,80.9000015258789,0,75.5999984741211,1,0,18,13,16,11,4,0,4,2,6,2,4,1,3,2,4,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,0,3,4,3,4,4,5,4,4,4,2,1,3,0,0,1,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,4,4,2,4,0,0,3,0,0,0,0,0,1,1,3,1,4,3,2,3,2,3,3,3,4,3,3,3,1,2,5,3,1,2,7,2,0,0,0,3,1,5,1,0,2,2,0,4,5,1,1,0,12,15,0,3,3,3,2,2,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.956993520259857,1.26047801971436,.956993520259857
2,61,1955,1,1,3,1,3,0,0,2,5,0,12,1,0,1,2,1,1,19,19,40,31,31,0,38.2999992370605,35.4000015258789,39.7000007629395,0,1,0,8,12,97,8,4,0,4,1,6,2,0,2,3,8,4,2,2,0,0,0,0,0,2,3,2,4,2,2,4,7,3,6,5,3,8,1,1,2,1,0,2,2,3,0,0,0,0,0,0,2,0,1,1,1,1,4,1,1,1,3,1,3,3,3,2,1,3,3,3,1,2,3,3,0,0,0,0,0,0,0,2,1,2,4,4,0,0,2,2,4,1,2,2,2,1,2,2,2,0,4,2,2,2,3,2,4,2,4,3,3,4,5,2,5,7,1,2,0,1,0,0,0,8,3,3,0,3,0,0,0,0,4,1,1,30,0,5,0,5,5,1,2,1,1,1,2,2,2,2,3,2,10,0,3,3,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,.478496760129929,.630239009857178,.478496760129929
3,72,1944,1,1,3,1,3,24,2,-1,1,1,16,3,0,1,2,0,2,21,0,38,38,0,43,52.0999984741211,59.0999984741211,0,43.0999984741211,1,0,12,8,12,12,2,7,1,1,1,2,2,0,1,6,1,2,1,1,2,1,3,1,2,3,3,3,3,3,3,7,98,98,7,98,98,5,2,3,1,0,5,6,0,4,5,4,5,4,5,1,1,8,2,1,1,0,0,0,0,1,3,2,1,2,3,3,3,2,2,1,1,3,1,2,2,1,2,1,2,2,0,0,0,0,0,1,4,2,2,0,1,2,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,0,2,3,2,2,2,3,2,2,0,4,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,3,8,0,0,1,3,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,.956993520259857,1.26047801971436,.956993520259857
4,43,1973,2,1,0,1,3,19,4,2,1,1,12,1,0,2,2,1,6,26,9,35,0,48,49,21.7999992370605,0,24.2000007629395,46,1,0,97,12,12,4,2,6,3,1,3,2,2,2,2,6,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,5,2,5,4,3,4,4,5,4,4,4,1,2,8,0,0,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,2,3,1,1,4,1,1,4,0,0,3,0,0,0,0,0,3,3,4,2,4,2,4,3,3,3,4,2,2,2,4,2,2,4,2,4,2,2,1,1,0,0,0,3,1,4,2,0,2,1,2,4,5,1,1,10,0,7,0,3,3,2,2,1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91398704051971,2.52095603942871,1.91398704051971
5,55,1961,2,1,3,1,2,31,2,-1,1,1,18,4,0,2,2,0,3,26,2,31,50,47,48,39.7000007629395,68.5999984741211,38.7999992370605,70.5,1,0,16,12,16,8,4,0,4,2,6,4,4,0,3,1,4,2,1,1,1,2,2,0,0,4,2,4,2,2,4,7,4,5,6,6,7,3,2,3,1,0,1,3,0,4,4,5,5,4,5,2,1,8,1,1,2,0,0,0,0,1,3,1,3,2,2,8,1,1,2,1,1,3,2,1,1,1,1,1,1,1,0,0,0,0,0,1,4,2,2,0,1,2,2,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,3,0,3,1,4,1,3,2,2,0,4,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1.43549025058746,1.89071702957153,1.43549025058746
6,53,1963,2,1,3,2,2,30,2,2,1,1,14,2,50,2,2,1,3,20,0,36,45,31,40,44.5999984741211,50,19.6000003814697,45.0999984741211,1,8,11,12,12,8,4,0,4,1,3,1,4,1,3,3,4,2,1,1,0,0,0,0,2,4,2,4,2,2,4,7,7,7,7,7,7,4,0,3,0,5,1,3,4,0,0,0,0,0,0,2,0,2,1,2,2,3,3,3,3,1,2,3,3,2,2,2,3,2,2,2,2,3,1,0,0,0,0,0,0,0,2,1,8,4,3,0,0,2,2,3,1,2,2,1,1,2,3,3,0,4,2,2,2,1,1,1,1,4,2,3,3,5,3,4,6,7,2,5,1,0,0,0,3,2,3,0,2,0,0,0,0,5,1,1,0,2,2,0,6,2,1,2,1,1,0,0,0,0,0,1,5,0,0,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,.956993520259857,1.26047801971436,.956993520259857
7,50,1966,1,1,0,2,2,23,2,3,1,1,14,1,0,2,2,1,3,26,26,65,60,49,48,80.6999969482422,65.3000030517578,37.2000007629395,20.1000003814697,1,8,12,12,12,10,4,1,4,2,6,1,4,1,3,1,4,4,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,5,3,1,4,4,5,4,4,4,1,1,2,0,0,2,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,4,1,1,4,0,0,1,0,0,0,0,0,2,3,1,2,3,3,3,3,3,2,1,1,1,2,5,4,6,2,2,2,1,2,1,2,0,0,0,3,3,4,2,0,2,2,0,4,4,2,1,0,40,5,0,6,6,3,1,3,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43549025058746,1.89071702957153,1.43549025058746
8,23,1993,2,3,3,2,6,15,3,-1,1,1,11,1,0,1,4,0,5,16,11,48,33,25,33,20.1000003814697,13.6000003814697,12.6000003814697,13.6000003814697,2,8,5,5,8,11,2,5,2,1,2,2,2,0,1,6,3,2,1,1,2,2,3,3,1,3,3,5,5,3,5,7,7,7,8,8,8,4,2,1,1,0,2,5,0,4,5,5,4,4,5,2,1,2,2,1,1,0,0,0,0,2,2,2,2,1,3,2,3,1,2,2,3,2,3,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,0,2,2,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,4,0,0,2,2,1,1,1,1,2,0,4,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,9,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,.956993520259857,1.26047801971436,.956993520259857
9,45,1971,1,2,0,2,5,19,3,8,1,1,12,1,0,2,3,2,3,20,13,48,34,25,24,20.1000003814697,26.6000003814697,12.6000003814697,20.7000007629395,2,8,8,8,9,98,1,6,1,1,1,1,1,1,1,6,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,0,8,2,4,4,5,5,4,4,8,1,8,0,0,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,2,2,2,2,3,1,8,8,1,2,1,0,0,3,0,0,0,0,0,2,3,4,4,8,8,8,3,3,3,3,3,3,1,4,3,6,7,7,7,1,2,1,2,0,0,0,1,3,4,2,0,2,2,0,4,1,2,1,0,0,7,0,3,3,1,2,1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.956993520259857,1.26047801971436,.956993520259857
10,71,1945,1,1,3,1,1,20,4,-1,3,0,14,2,0,2,3,0,2,20,0,35,31,38,0,32,39.7000007629395,59.0999984741211,0,2,0,14,15,97,9,4,0,4,2,6,3,0,0,3,1,4,4,2,0,2,1,3,0,0,4,4,2,4,2,4,7,8,7,8,8,8,3,2,1,1,0,6,6,0,5,5,4,5,4,5,1,1,2,2,1,1,0,0,0,0,1,1,1,3,3,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,1,4,2,1,0,2,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,4,0,3,2,3,1,3,1,1,1,4,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,3,1,2,1,2,2,3,4,380,0,5,3,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,.956993520259857,1.26047801971436,.956993520259857
